ENSEMBL,mean.nrc.f,mean.nrc.m,pvalue,stderr,foldchangesMF,log2FoldChangeMF,ENTREZID,SYMBOL
FBgn0032147,152.9478675,182.4891481,0.0244702,9.89577259,1.193146077,0.254770683,34300,IP3K1
FBgn0032149,71.87932962,53.47088521,0.000146591,2.16958376,-1.344270426,-0.426823393,34302,CG4036
FBgn0029174,1173.515034,574.395377,2.93E-06,35.84487591,-2.043044009,-1.030720281,47762,Fkbp59
FBgn0010520,97.92426161,44.76709192,0.000158221,6.351149353,-2.187416189,-1.129227741,46032,Bka
FBgn0024285,407.0491598,248.5610659,0.002559397,31.97124477,-1.637622362,-0.711602708,34312,Srp54
FBgn0040064,804.8410784,918.7938582,0.032879459,41.29599312,1.141584199,0.191037272,34313,yip2
FBgn0032160,277.0187854,238.2516564,0.026527234,13.26274931,-1.162715045,-0.217497569,34315,CG4598
FBgn0032161,80.87103618,64.22450583,0.025692121,5.647443788,-1.259192813,-0.332499212,34316,CG4594
FBgn0259712,2.935272361,9.558386338,0.00249731,1.329469458,3.25638822,1.703272705,34319,CG42366
FBgn0032169,85.353195,46.17596748,0.015823599,11.76797333,-1.84843328,-0.886302969,34324,CG4709
FBgn0011272,8307.834916,3700.736367,5.60E-05,457.9320685,-2.24491401,-1.166660184,34329,RpL13
FBgn0043456,1048.449035,591.4645119,1.86E-05,37.51973132,-1.772632193,-0.825893219,192507,Ndf
FBgn0011584,670.7027443,1225.644055,7.99E-05,58.71966153,1.827402773,0.86979465,34333,Trp1
FBgn0032176,0,85.88666376,1.06E-05,6.401774539,Inf,Inf,34335,CG13127
FBgn0053301,125.4077322,282.667021,0.002294545,31.03537467,2.253983992,1.172477269,2768917,CG33301
FBgn0267727,2262.404565,10233.45886,2.69E-05,697.5570371,4.523266536,2.17736501,34338,Pen
FBgn0032178,49.17786282,85.04845403,0.000508683,5.301048687,1.729405248,0.790275972,34339,Spn31A
FBgn0083945,105.4564108,188.7118285,0.036247841,30.99668254,1.789477065,0.839538053,4379890,CG34109
FBgn0032187,150.2239032,228.2389085,0.010691356,21.36710736,1.519324845,0.603430364,34348,CG4839
FBgn0032188,0,18.34926729,4.44E-08,0.542340695,Inf,Inf,34349,CG13137
FBgn0005593,12232.92281,5228.583172,2.62E-05,610.11015,-2.339624792,-1.226277182,34352,RpL7
FBgn0032194,291.1505194,96.35278663,9.57E-05,21.28253001,-3.021713534,-1.595366896,34357,CG4901
FBgn0250843,932.3231464,659.6461522,0.000329056,37.19136082,-1.413368582,-0.499137744,34359,Prosalpha6
FBgn0032195,130.7196713,88.03229121,0.000357973,5.912727853,-1.484905931,-0.570371539,34360,CG4908
FBgn0032198,1655.2467,848.0265633,1.45E-06,42.89193839,-1.951880721,-0.964864893,34363,eEF1delta
FBgn0004419,4440.4735,622.1835071,1.17E-05,289.5213066,-7.136919333,-2.835301466,34364,me31B
FBgn0051717,113.5652822,150.5697114,0.009870494,9.951586089,1.325842797,0.406909728,318911,CG31717
FBgn0032202,148.3391763,196.0909705,0.000571725,7.211866495,1.321909527,0.402623441,34371,REPTOR-BP
FBgn0260750,181.5356,131.2740588,0.00573903,11.99100688,-1.382874893,-0.467670644,326168,Mulk
FBgn0032214,253.1151203,595.2867928,5.53E-05,33.93558519,2.351842087,1.233791195,34384,CG4968
FBgn0032217,550.1186072,471.6506751,0.010610917,21.45393506,-1.166368747,-0.222023969,34388,CG4972
FBgn0032219,23.27406786,654.5103689,1.13E-06,32.15632386,28.1218725,4.813620754,34390,CG4995
FBgn0032222,441.9440341,561.6268509,0.013002025,34.30466902,1.270809893,0.345748227,34394,CG5037
FBgn0019932,110.4662784,180.8874823,0.003435434,15.08310317,1.637490508,0.711486544,34396,SamDC
FBgn0032224,244.2461438,213.3837103,0.00346441,6.621680953,-1.144633503,-0.19488574,34397,Sps2
FBgn0032225,10.97071716,17.86464978,0.006498506,1.689486969,1.62839398,0.703449793,34398,CG5022
FBgn0032229,280.2651791,1058.501114,1.08E-05,58.21573896,3.776784249,1.917158371,34402,ClpP
FBgn0032230,54.85296835,95.49426233,0.01785816,12.57338175,1.740913303,0.799844359,34405,lft
FBgn0032231,135.1228213,221.5901076,0.004005196,19.11764371,1.639916229,0.71362212,34406,CG5056
FBgn0032233,25.74977634,56.99401259,0.001141032,5.377540587,2.213378938,1.146250466,34408,dpr19
FBgn0051716,896.1668251,1200.972826,0.001798832,57.31729749,1.340121942,0.422364282,34416,Cnot4
FBgn0032244,82.66919985,29.367087,0.004239264,11.92548912,-2.815028942,-1.493149755,34423,RfC3
FBgn0267330,531.3882861,718.4161252,0.001036979,31.60527049,1.351960787,0.435053307,34427,KdelR
FBgn0004915,168.840006,252.7062953,0.000968008,13.9872939,1.496720483,0.581804819,34430,TfIIB
FBgn0032256,75.39039808,43.9883616,0.000413089,4.465513609,-1.713871473,-0.777258922,34440,RluA-2
FBgn0032264,164.9109246,271.9908235,0.014125215,31.30014806,1.64931962,0.721871004,34450,Lip4
FBgn0032265,0.477100496,433.2380862,0.000309493,58.3688709,908.0646322,9.826651176,34451,CG18301
FBgn0032266,30.27749563,103.5727457,0.000120459,8.341248172,3.420783112,1.774326636,34452,CG18302
FBgn0032268,0,376.0806877,2.12E-08,9.823050529,Inf,Inf,34454,CG6138
FBgn0250826,0,191.8916216,1.27E-06,9.965661867,Inf,Inf,5740175,CG34160
FBgn0265264,3.964112289,15981.56495,1.19E-06,820.3211955,4031.562123,11.97712324,34461,CG17097
FBgn0032276,0.434825819,1413.251018,6.58E-06,97.03072378,3250.154328,11.66629251,34462,dbf
FBgn0051871,9.006586259,31.98325277,0.001044366,3.888032805,3.551096037,1.828264378,34463,CG31871
FBgn0040496,14.03977539,174.5688918,1.24E-05,12.29406832,12.43388067,3.636204733,34465,CG17104
FBgn0032287,93.05511357,144.8859308,0.019125432,16.30952083,1.556990532,0.638760172,34474,CG6415
FBgn0032295,173.3794509,71.29201414,0.007677049,25.94979981,-2.431961742,-1.282120534,34483,CG12299
FBgn0027550,89.2015846,159.9875802,0.000342469,9.725550202,1.793550876,0.84281867,34486,CG6495
FBgn0051870,0,760.6753062,5.90E-07,34.71410427,Inf,Inf,318993,CG31870
FBgn0027363,307.9629517,453.4128682,7.32E-05,15.15548502,1.472296799,0.558068533,34505,Stam
FBgn0032311,15.52283129,0,0.012383321,4.39869908,#NAME?,#NAME?,34506,CG12517
FBgn0032318,0.18504865,146.5169679,6.70E-06,10.07901005,791.7753962,9.628947427,34513,CG14072
FBgn0032322,173.4997203,212.6019163,0.005895883,9.382978518,1.225373251,0.293221264,34517,CG16743
FBgn0026147,492.3250186,2231.596085,2.26E-05,147.6873032,4.532770022,2.180392965,47729,TTLL4A
FBgn0021761,632.4688877,201.02395,0.000237184,55.444961,-3.146236494,-1.653627118,34527,Nup154
FBgn0250837,398.0822473,40.61612868,0.000271496,47.07733381,-9.801087898,-3.292941894,34529,dUTPase
FBgn0023415,0,1437.996033,7.38E-08,46.27895744,Inf,Inf,34531,Acp32CD
FBgn0032331,0,11.11159604,0.012294759,3.143409995,Inf,Inf,34532,CG14913
FBgn0040967,0,23.86727249,3.77E-05,2.213784279,Inf,Inf,50441,CG18666
FBgn0032338,22.65281998,109.0413639,3.44E-05,7.886089843,4.813588948,2.267112949,34539,CG16854
FBgn0032339,144.1798006,396.3710454,1.47E-05,19.87049814,2.749144081,1.45898252,34540,Wdr59
FBgn0040211,157.7417889,314.4857079,0.003551319,33.80232055,1.99367403,0.995429545,34552,hgo
FBgn0040233,537.3216367,619.1142329,0.040920127,31.51577122,1.152222785,0.204419693,3771934,cana
FBgn0052831,113.2787839,60.28654473,0.000487605,7.770130347,-1.879006076,-0.909969732,3772186,CG33695
FBgn0032358,105.8619066,155.9553555,0.016755109,15.2574294,1.473196172,0.558949554,34564,Ppt2
FBgn0020270,126.0937203,50.65501792,0.000275425,9.961051989,-2.489264153,-1.315719333,34565,mre11
FBgn0000287,48.71915127,295.6533224,7.37E-06,17.28830884,6.068523664,2.601345584,34568,salr
FBgn0032364,0,365.4595861,9.36E-06,26.65680022,Inf,Inf,3772412,CG4970
FBgn0032365,0,115.6753284,2.82E-06,6.876292063,Inf,Inf,3771749,CG14929
FBgn0085191,0,7.956710446,0.004358531,1.7905626,Inf,Inf,5740392,CG34162
FBgn0015400,46.07782059,86.54574689,0.002951038,8.402195101,1.878251744,0.909390442,34582,kek2
FBgn0032371,0.144892335,1142.173941,3.41E-07,47.51027105,7882.914837,12.94451347,34585,CG4983
FBgn0262786,0,25.69305639,0.000532936,3.829968207,Inf,Inf,12798159,CG43167
FBgn0265670,0,14.04963268,0.002931154,2.91306064,Inf,Inf,19834907,CG44477
FBgn0032372,0.36457242,539.1756271,2.11E-05,45.19132623,1478.925989,10.53033414,34586,CG4988
FBgn0032375,3.539413908,95.4483337,5.50E-05,9.109270597,26.9672709,4.753137623,34589,CG14932
FBgn0266363,0,292.8120325,6.50E-05,29.88104068,Inf,Inf,19835723,CG45011
FBgn0266364,0,38.31611376,0.000363567,5.322359603,Inf,Inf,19834795,CG45012
FBgn0265349,0,27.0266404,0.019967186,8.596364974,Inf,Inf,8674007,Sfp33A4
FBgn0259963,0,64.57529501,3.04E-05,5.769276376,Inf,Inf,8674051,Sfp33A2
FBgn0259964,0.434825819,592.0673196,0.000271771,77.93074318,1361.619512,10.4111079,8674115,Sfp33A3
FBgn0032381,57.21465802,76.50928244,0.044965262,7.640585829,1.33723219,0.419249989,34597,Mal-B1
FBgn0032382,297.924255,477.5474137,8.08E-06,12.77705418,1.602915525,0.680698396,34598,Mal-B2
FBgn0261805,4.392285395,10.08038143,0.002178785,1.111012319,2.295019683,1.198506527,10178957,CG42751
FBgn0032385,0,142.0073656,7.34E-05,14.80385959,Inf,Inf,34605,CG16964
FBgn0032387,29.61567952,80.06255697,0.015014465,14.96270932,2.703384095,1.434766504,34607,CG16965
FBgn0085192,65.63492675,25.54872171,2.96E-05,3.564679198,-2.569010203,-1.36121262,5740407,CG34163
FBgn0032393,448.8493106,679.7064581,0.002234522,45.31935182,1.514331073,0.598680651,34613,Nfs1
FBgn0014019,9.20473482,36.42233537,0.000705504,4.275593637,3.956913054,1.984375365,34615,Rh5
FBgn0032402,69.08322428,152.5367576,0.000497801,12.28361571,2.208014452,1.142749615,34623,PLCXD
FBgn0027081,1146.790485,591.9334679,8.80E-07,27.08397482,-1.93736382,-0.954094905,45784,ThrRS
